⺀	(⺀,Cd,,部首補充)
⼳	(幺,Cp,,康熙部首)
⼴	(广,Fi,,康熙部首)
⼵	(廴,Tk,,康熙部首)
⼶	(廾,Ql,,康熙部首)
⼷	(弋,Wl,,康熙部首)
⼸	(弓,Dz,,康熙部首)
⼹	(,Qj,,康熙部首)
⼺	(彡,Cd,,康熙部首)
⼻	(彳,To,,康熙部首)
⼼	(心,Vi,,康熙部首)
⼽	(戈,Gw,,康熙部首)
⼾	(戶,Ju,,康熙部首)
⼿	(手,Cj,,康熙部首)
⽀	(支,Oi,,康熙部首)
⽁	(攴,Vj,,康熙部首)
⽂	(文,Hf,,康熙部首)
⽃	(斗,Ad,,康熙部首)
⽄	(斤,Tn,,康熙部首)
⽅	(方,Lj,,康熙部首)
⽆	(无,Ri,,康熙部首)
⽇	(日,Wr,,康熙部首)
⽈	(曰,Ql,,康熙部首)
⽉	(月,Js,,康熙部首)
⽊	(木,Yq,,康熙部首)
⽋	(欠,Kc,,康熙部首)
⽌	(止,Hl,,康熙部首)
⽍	(歹,Nr,,康熙部首)
⽎	(殳,Fn,,康熙部首)
⽏	(毌,Kl,,康熙部首)
⽐	(比,Lq,,康熙部首)
⽑	(毛,Go,,康熙部首)
⽒	(氏,Ox,,康熙部首)
⽓	(气,Dm,,康熙部首)
⽔	(水,Bk,,康熙部首)
⽕	(火,Xl,,康熙部首)
⽖	(爪,Ch,,康熙部首)
⽗	(父,Hz,,康熙部首)
⽘	(爻,Iq,,康熙部首)
⽙	(爿,Hw,,康熙部首)
⽚	(片,Hw,,康熙部首)
⽛	(牙,Xh,,康熙部首)
⽜	(牛,Rs,,康熙部首)
⽝	(犬,Ro,,康熙部首)
⽞	(亠幺,WwCp,,康熙部首)
⽟	(玉,Jg,,康熙部首)
⽠	(瓜,Vw,,康熙部首)
⽡	(瓦,Ij,,康熙部首)
⽢	(甘,Yp,,康熙部首)
⽣	(生,Nc,,康熙部首)
⽤	(用,Uf,,康熙部首)
⽥	(田,Ty,,康熙部首)
⽦	(疋,If,,康熙部首)
⽧	(疒,Wh,,康熙部首)
⽨	(癶,Me,,康熙部首)
⽩	(白,Dh,,康熙部首)
⽪	(皮,Zs,,康熙部首)
⽫	(皿,Yz,,康熙部首)
⽬	(一,Fk,,康熙部首)
⽭	(矛,Hc,,康熙部首)
⽮	(矢,Lv,,康熙部首)
⽯	(石,Ra,,康熙部首)
⽰	(⺬,Th,,康熙部首)
⽱	(,Tk,,康熙部首)
⽲	(禾,Tu,,康熙部首)
⽳	(穴,Kg,,康熙部首)
⽴	(立,Jk,,康熙部首)
