⺀	(⺀,Cd,,部首補充)
蓘	(艹公,QlHiWh,gǔn,基本区)
蓙	(艹广从土,QlFiLcCk,zuò,基本区)
蓚	(艹夂彡,QlHsSpCd,tiáo,基本区)
蓛	(艹攵,QlDnIgVj,cè,基本区)
蓜	(艹酉己,QlFdEn,pèi,基本区)
蓝	(艹皿,QlUxYz,lán,基本区)
蓞	(艹爫臼,QlChBq,dàn,基本区)
蓟	(艹鱼刂,QlBiRj,jì,基本区)
蓠	(艹㐫禸,QlMzTk,lí,基本区)
蓡	(艹氵彐冖又,QlMeQjZn,shēn,基本区)
蓢	(艹丶月,QlMsIxJs,lǎng,基本区)
蓣	(艹予页,QlAnMg,yù,基本区)
蓤	(艹冫土八夂,QlWjCkSp,líng,基本区)
蓥	(金,BmLu,yíng,基本区)
蓦	(莫马,QkWm,mò,基本区)
蓧	(艹夂朩,QlHsSpYq,dí_diào_tiáo,基本区)
蓨	(艹夂,QlHsSpHz,tiáo,基本区)
蓩	(艹矛夂力,QlHcSpSo,mǎo,基本区)
蓪	(艹甬辶,QlXdDf,tōng,基本区)
蓫	(艹豕辶,QlByDf,zhú,基本区)
蓬	(艹夂丰辶,QlSpBpDf,péng,基本区)
蓭	(艹广大电,QlFiNfZf,ān,基本区)
蓮	(艹車辶,QlBmDf,lián,基本区)
蓯	(艹彳从龰,QlToLcHl,cōng,基本区)
蓰	(艹彳止龰,QlToHlHl,xǐ,基本区)
蓱	(艹氵丷开,QlMeHdCm,píng,基本区)
蓲	(艹匚口吅,QlXmPrYo,fū_qiū_xū,基本区)
蓳	(艹革二,QlUeHt,jǐn,基本区)
蓴	(艹寸,QlBmOf,chún_tuán,基本区)
蓵	(艹扌一龰,QlVlFkHl,jié,基本区)
蓶	(艹口隹,QlPrWf,wéi,基本区)
蓷	(艹扌隹,QlVlWf,tuī,基本区)
蓸	(艹一曲日,QlFkNeWr,cáo,基本区)
蓹	(艹彳卩,QlToUqJf,yù,基本区)
蓺	(艹土八土丸,QlCkAyOh,yì,基本区)
蓻	(艹土丸,QlCkAsOh,jú_zí,基本区)
蓼	(艹羽彡,QlQuGoCd,liǎo_lù,基本区)
蓽	(艹日龷十,QlWrXjEo,bì,基本区)
蓾	(艹囗,QlPgXtZc,lǔ,基本区)
蓿	(艹宀亻百,QlDxIuPi,xu,基本区)
蔀	(艹咅阝,QlIaEr,bù,基本区)
蔁	(艹立早,QlJkQf,zhāng,基本区)
蔂	(艹田糸,QlTyCp,léi,基本区)
蔃	(艹弓口虫,QlDzPrHk,qiáng,基本区)
蔄	(艹門口,QlYzPr,màn,基本区)
蔅	(艹門女,QlYzOu,yán,基本区)
蔆	(艹氵土八夂,QlMeCkSp,líng,基本区)
蔇	(艹旡,QlIxRh,jì,基本区)
蔈	(艹覀示,QlXgTh,biāo_piào,基本区)
蔉	(艹八口,QlHiAyPr,gǔn,基本区)
蔊	(艹火日干,QlXlWrYc,hàn_hǎn,基本区)
蔋	(艹氵上小又,QlMeUxZn,dí,基本区)
蔌	(艹束欠,QlGuKc,sù,基本区)
蔍	(艹鹿,QlDo,lù,基本区)
蔎	(艹言殳,QlOkFn,shè,基本区)
蔏	(艹󰈯口,QlJkIePr,shāng,基本区)
蔐	(艹冂古,QlJkOdOb,dí,基本区)
蔑	(艹罒戊丶,QlDdQbMs,miè,基本区)
蔒	(艹君灬,QlPdXl,hūn,基本区)
蔓	(艹日罒又,QlWrDdZn,mán_màn_wàn,基本区)
蔔	(艹勹田,QlKlAkTy,bo,基本区)
蔕	(艹冖巾,QlUlOdSu,dì,基本区)
蔖	(艹虍且,QlPtAw,cuó,基本区)
蔗	(艹灬,QlFiXl,zhè,基本区)
蔘	(艹厶厶厶彡,QlFiFiCd,shēn,基本区)
蔙	(艹疋,QlEzIf,xuàn,基本区)
蔚	(艹尸示寸,QlZkThOf,wèi_yù,基本区)
蔛	(艹角斗,QlTjAd,hú,基本区)
蔜	(艹敖,QlZv,áo,基本区)
蔝	(艹目米,QlFmZc,mǐ,基本区)
蔞	(艹女,QlKlOu,lóu,基本区)
蔟	(艹矢,QlEzLv,cù,基本区)
蔠	(艹糹夂,QlCpSpCd,zhōng,基本区)
蔡	(艹祭,QlMe,cài,基本区)
蔢	(艹氵皮女,QlMeZsOu,pó,基本区)
蔣	(艹爿寸,QlHwMeOf,jiǎng,基本区)
蔤	(艹宀心丿山,QlDxViBn,mì,基本区)
蔥	(艹囱心,QlZhVi,cōng,基本区)
蔦	(艹鳥,QlDw,niǎo,基本区)
蔧	(艹丰丰彐,QlBpBpQj,huì,基本区)
蔨	(艹囗龹㔾,QlXtKbJf,juàn,基本区)
蔩	(艹宀一由八,QlDxFkAy,yín,基本区)
蔪	(艹車斤,QlBmTn,jiān,基本区)
蔫	(艹正灬,QlNtBiXl,niān,基本区)
蔬	(艹㐬,QlIfPw,shū,基本区)
蔭	(艹阝今云,QlErGdYv,yìn_yīn,基本区)
蔮	(艹囗戈口一,QlXtGwFk,guó,基本区)
蔯	(艹阝,QlErAkIg,chén,基本区)
蔰	(艹户邑,QlUdDv,hù,基本区)
蔱	(艹乂朩殳,QlQiYqFn,shā,基本区)
蔲	(艹宀元攵,QlDxRlVj,kòu,基本区)
蔳	(艹氵龶,QlMeBpHz,qiàn,基本区)
蔴	(艹麻,QlAv,má,基本区)
蔵	(艹戊臣,QlQbDn,zàng,基本区)
蔶	(艹龶貝,QlBpMl,zé,基本区)
蔷	(艹囗口,QlLuXtPr,qiáng,基本区)
蔸	(艹白儿,QlDhXmDi,dōu,基本区)
蔹	(艹亼攵,QlAfJpVj,liǎn,基本区)
蔺	(艹门隹,QlZiWf,lìn,基本区)
蔻	(艹宀元攴,QlDxRlVj,kòu,基本区)
蔼	(艹讠曷,QlScBl,ǎi,基本区)
蔽	(艹㡀攵,QlFnVj,bì,基本区)
蔾	(艹禾木,QlTuJzYq,lí,基本区)
蔿	(艹爫灬,QlChDnXl,wěi,基本区)
蕀	(艹,QlDnIgIg,jí,基本区)
蕁	(艹彐工口寸,QlQjIvOf,qián_xún,基本区)
蕂	(艹月龹力,QlJsKbSo,shèng,基本区)
蕃	(艹釆田,QlRuTy,bō_fán,基本区)
蕄	(艹門心,QlYzVi,méng,基本区)
蕅	(艹{温字框},QlCtTk,ǒu,基本区)
蕆	(艹戊貝,QlQbMl,chǎn,基本区)
蕇	(艹吅旦丨,QlYoUwGp,diǎn,基本区)
蕈	(艹覀早,QlXgQf,xùn,基本区)
蕉	(艹隹灬,QlWfXl,jiāo,基本区)
蕊	(艹心心心,QlViViVi,ruǐ,基本区)
蕋	(艹止止止,QlHlHlHl,ruǐ,基本区)
蕌	(艹日日日,QlWrWrWr,lěi,基本区)
蕍	(艹氵亼刂,QlMeAfRj,yú,基本区)
蕎	(艹夭口冂口,QlFoPrPr,qiáo,基本区)
蕏	(艹犭者,QlRoVn,zhū,基本区)
蕐	(艹从从,QlCjLcLc,huá,基本区)
蕑	(艹門月,QlYzJs,jiān,基本区)
蕒	(艹罒貝,QlDdMl,mǎi,基本区)
蕓	(艹云,QlErYv,yún,基本区)
蕔	(艹土又,QlCkAsZn,bāo,基本区)
蕕	(艹犭酋,QlRoHx,yóu,基本区)
蕖	(艹氵巨木,QlMeOcYq,qú,基本区)
蕗	(艹各,QlHbXc,lù,基本区)
蕘	(艹土土土兀,QlCkCkSe,ráo,基本区)
蕙	(艹心,QlBmVi,huì,基本区)
蕚	(艹口吅亏,QlPrYoGi,è,基本区)
蕛	(艹禾丷弓,QlTuHdNc,tí,基本区)
蕜	(艹非心,QlYxVi,fěi,基本区)
蕝	(艹糹巴,QlCpNaSl,jué,基本区)
蕞	(艹日耳又,QlWrUaZn,zuì,基本区)
蕟	(艹癶弓殳,QlMeDzFn,fà,基本区)
蕠	(艹女口糸,QlOuPrCp,rú,基本区)
蕡	(艹十艹貝,QlEoQlMl,fén,基本区)
蕢	(艹貝,QlHkMl,kuì,基本区)
蕣	(艹舛,QlXbOo,shùn,基本区)
蕤	(艹豕生,QlByNc,ruí,基本区)
蕥	(艹牙隹,QlXhWf,yǎ,基本区)
蕦	(艹彡頁,QlCdLd,xū,基本区)
蕧	(艹彳日夂,QlToNcSp,fù,基本区)
蕨	(艹厂䒑䶹欠,QlLsRcKc,jué,基本区)
蕩	(艹{温字框}一丿,QlCtFkLb,dàng,基本区)
蕪	(艹灬,QlBkXl,wú,基本区)
蕫	(艹童,QlVs,dǒng,基本区)
蕬	(艹糹糸,QlCpCp,sī,基本区)
蕭	(艹肀一,QlJaHwFk,xiāo,基本区)
蕮	(艹臼勹灬,QlBqKlXl,xì,基本区)
蕯	(艹阝夂一生,QlErSpNc,sà,基本区)
蕰	(艹{温字框}皿,QlCtYz,wēn_yùn,基本区)
蕱	(艹禾肖,QlTuUg,shāo,基本区)
蕲	(艹丷旦丨斤,QlHdUwTn,qí,基本区)
蕳	(艹門日,QlYzWr,jiān,基本区)
蕴	(艹纟日皿,QlLiWrYz,yùn,基本区)
蕵	(艹夕食,QlQyNn,sūn,基本区)
蕶	(艹今丶,QlErGdMs,líng,基本区)
蕷	(艹予頁,QlAnLd,yù,基本区)
蕸	(艹叚辶,QlTjDf,xiá,基本区)
蕹	(艹亠乡隹,QlWwPcWf,wèng,基本区)
蕺	(艹口耳{戈无一},QlPrUaGw,jí,基本区)
蕻	(艹镸共,QlIsLi,hóng_hòng,基本区)
蕼	(艹镸聿,QlIsJa,sì,基本区)
蕽	(艹曲辰,QlNePj,nóng,基本区)
蕾	(艹田,QlErTy,lěi,基本区)
蕿	(艹火爫一友,QlXlChAm,xuān,基本区)
薀	(艹氵囗人皿,QlMeXtYz,wēn_yùn,基本区)
薁	(艹米大,QlDnZcNf,ào_yù,基本区)
薂	(艹敫,QlRe,xí_xiào,基本区)
薃	(艹氵高,QlMeCi,hào,基本区)
薄	(甫寸,BhAhOf,báo_bó_bò,基本区)
薅	(艹女辰寸,QlOuPjOf,hāo,基本区)
薆	(艹心夂,QlXbViSp,ài,基本区)
薇	(艹一几,QlDxFkKx,wēi,基本区)
薈	(艹亼日,QlAfRhWr,huì,基本区)
薉	(艹止戊一,QlHlQbHl,huì,基本区)
薊	(艹魚刂,QlKfRj,jì,基本区)
薋	(艹冫欠貝,QlWjKcMl,cí_zī,基本区)
薌	(艹乡丶阝,QlPcMsEr,xiāng,基本区)
薍	(艹爫龴冂厶又⺃,QlChZnHu,luàn_wàn,基本区)
薎	(艹罒冖亻戈,QlDdOdGw,miè,基本区)
薏	(艹音心,QlHrVi,yì,基本区)
薐	(艹禾土八夂,QlTuCkSp,léng,基本区)
薑	(艹一田一田一,QlFkTyFk,jiāng,基本区)
薒	(艹歺又米,QlNrZnZc,càn,基本区)
薓	(艹氵彐冖巾又,QlMeQjZn,shēn,基本区)
薔	(艹土从囗口,QlCkLcPr,qiáng_sè,基本区)
薕	(艹广䒑,QlFiRcXl,lián,基本区)
薖	(艹咼辶,QlUvDf,kē,基本区)
薗	(艹囗土口,QlXtCkHi,yuán,基本区)
薘	(艹土羊辶,QlCkAsDf,dá,基本区)
薙	(艹矢隹,QlLvWf,tì,基本区)
薚	(艹歹旦丿,QlNrUwLb,tāng,基本区)
薛	(艹辛,QlUvVc,xuē,基本区)
薜	(艹辟,QlWu,bì,基本区)
薝	(艹厂八言,QlNaLsOk,zhān,基本区)
薞	(艹歹食,QlNrNn,sūn,基本区)
薟	(艹僉,QlOg,kàn_liǎn_xiān_yán,基本区)
薠	(艹火頁,QlXlLd,fán,基本区)
薡	(艹目,QlFmHw,dǐng,基本区)
薢	(艹角刀牛,QlTjJzRs,xiè,基本区)
薣	(艹壴支,QlMtOi,gǔ,基本区)
薤	(艹歹非一,QlNrYxFk,xiè,基本区)
薥	(艹罒勹虫,QlDdKlHk,shǔ,基本区)
薦	(艹灬,QlDoBiXl,jiàn,基本区)
薧	(艹歹匕,QlCiNrYs,hāo_kǎo,基本区)
薨	(艹罒冖歹匕,QlDdOdYs,hōng,基本区)
薩	(艹阝产生,QlErWdNc,sà,基本区)
薪	(艹亲斤,QlDkTn,xīn,基本区)
薫	(艹𡈼旦灬,QlFuUwXl,xūn,基本区)
薬	(艹白木,QlDhWjYq,yào,基本区)
薭	(艹禾卑,QlTuRk,bài,基本区)
薮	(艹娄攵,QlZpVj,sǒu,基本区)
薯	(艹罒者,QlDdVn,shǔ,基本区)
薰	(艹千黑,QlJyGp,xūn,基本区)
薱	(艹业寸,QlEjAsOf,duì,基本区)
薲	(艹宀一貝,QlDxFkMl,pín,基本区)
薳	(艹土口辶,QlCkPrDf,wěi_yuǎn,基本区)
薴	(艹宀心皿丁,QlDxViNa,níng,基本区)
薵	(艹士乛工一口寸,QlNxBmOf,chóu_zhòu,基本区)
薶	(艹豸里,QlByGh,mái_wō,基本区)
薷	(艹而,QlErUi,rú,基本区)
薸	(艹氵覀示,QlMeXgTh,piáo,基本区)
薹	(艹士口冖至,QlNxPrRn,tái,基本区)
薺	(艹亠,QlWwZtPr,jì_qí,基本区)
薻	(艹氵巛果,QlMePvMv,zǎo,基本区)
薼	(艹鹿土,QlDoCk,chén,基本区)
薽	(艹覀土瓦,QlXgCkIj,zhēn,基本区)
薾	(共巾爻爻,LiSuIqIq,ěr,基本区)
薿	(艹匕矢龴疋,QlYsLvIf,nǐ,基本区)
藀	(艹火火冖火,QlXlXlXl,yíng,基本区)
藁	(艹高木,QlCiYq,gǎo,基本区)
藂	(艹耳又乑,QlUaZnBy,cóng,基本区)
藃	(艹高欠,QlCiKc,hào_xiāo,基本区)
藄	(艹其糸,QlKtCp,qí,基本区)
藅	(艹罒言刂,QlDdOkRj,fá,基本区)
藆	(艹手,QlElCj,jiǎn,基本区)
藇	(艹丨八,QlBqBiAy,xù_xū_yù,基本区)
藈	(艹目癶天,QlFmMeAk,kuí,基本区)
藉	(艹耒龷日,QlOaXjWr,jí_jiè,基本区)
藊	(艹禾户,QlTuUdTe,biǎn,基本区)
藋	(艹羽隹,QlQuWf,diào_zhuó,基本区)
藌	(艹宀心丿虫,QlDxViHk,mí,基本区)
藍	(艹臣皿,QlDnKhYz,lan_lán,基本区)
藎	(艹灬皿,QlJaXlYz,jìn,基本区)
藏	(艹臣,QlQbDn,cáng_zàng,基本区)
藐	(艹豸白儿,QlByDhDi,miǎo,基本区)
藑	(艹目夂,QlNaOdSp,qióng,基本区)
藒	(艹禾曷,QlTuBl,qì,基本区)
藓	(艹鱼羊,QlBiAs,xiǎn,基本区)
藔	(艹宀大丷日小,QlDxNfIg,liáo,基本区)
藕	(艹耒日,QlOaWrTk,ǒu,基本区)
藖	(艹臣又貝,QlDnZnMl,xián,基本区)
藗	(艹束欠辶,QlGuKcDf,sù,基本区)
藘	(艹虍田心,QlPtTyVi,lǘ,基本区)
藙	(艹立殳,QlJkByFn,yì,基本区)
藚	(艹士罒貝,QlNxDdMl,xù,基本区)
藛	(艹宀臼勹灬,QlDxBqXl,xiě,基本区)
藜	(艹禾氺,QlTuJzBk,lí,基本区)
藝	(艹土八土丸云,QlCkAyYv,yì,基本区)
藞	(艹石石石,QlRaRaRa,lǎ,基本区)
藟	(艹田田田,QlTyTyTy,lěi,基本区)
藠	(艹白白白,QlDhDhDh,jiào,基本区)
藡	(艹冂古辶,QlJkOdDf,dí,基本区)
藢	(艹一王,QlDxFkKs,zhǐ,基本区)
藣	(艹罒厶匕匕,QlDdFiYs,bēi,基本区)
藤	(艹月龹氺,QlJsKbBk,téng,基本区)
藥	(艹白幺幺木,QlDhCpYq,lüè_shuò_yào,基本区)
藦	(艹麻手,QlAvCj,mó,基本区)
藧	(艹糹爫一友,QlCpChAm,huàn,基本区)
藨	(艹鹿灬,QlDoXl,biāo_pāo,基本区)
藩	(釆田,BhRuTy,fān,基本区)
藪	(艹女攵,QlKlOuVj,sǒu,基本区)
藫	(艹氵覀早,QlMeXgQf,tán,基本区)
藬	(艹阝貝,QlErHkMl,tuī,基本区)
藭	(艹穴身弓,QlKgFaDz,qióng,基本区)
藮	(艹木隹灬,QlYqWfXl,qiáo,基本区)
藯	(艹尸示寸心,QlZkThVi,wèi,基本区)
藰	(艹金刂,QlTpLuRj,liú_liǔ,基本区)
藱	(艹疒鬼,QlWhJd,huí_huì,基本区)
藲	(艹木匚口吅,QlYqXmYo,ōu,基本区)
藳	(艹高禾,QlCiTu,gǎo,基本区)
藴	(艹糹日皿,QlCpWrYz,yùn,基本区)
藵	(艹亻口木衣,QlIuPrHi,bǎo,基本区)
藶	(艹厂禾禾止,QlLsTuHl,lì,基本区)
藷	(艹言者,QlOkVn,shǔ_zhū,基本区)
藸	(艹豕者,QlByVn,chú_zhū,基本区)
藹	(艹言曷,QlOkBl,ǎi,基本区)
藺	(艹門隹,QlYzWf,lìn,基本区)
藻	(口吅木,BhPrYoYq,zǎo,基本区)
藼	(艹宀丰罒心,QlDxBpVi,xuān,基本区)
藽	(艹亲見,QlDkIu,qìn,基本区)
藾	(艹束貝,QlGuNaMl,lài,基本区)
藿	(艹隹,QlErWf,huò,基本区)
蘀	(艹扌罒土,QlVlDdAs,tuò,基本区)
蘁	(艹吅吅,QlKsYoYo,wù,基本区)
蘂	(艹心心心木,QlViViYq,ruǐ,基本区)
蘃	(艹止止止木,QlHlHlYq,ruǐ,基本区)
蘄	(艹吅旦丨斤,QlYoUwTn,qí,基本区)
蘅	(艹行,QlEfKf,héng,基本区)
蘆	(艹虍田皿,QlPtTyYz,lú,基本区)
蘇	(艹魚禾,QlKfTu,sū,基本区)
蘈	(艹禾几頁,QlTuKxLd,tuí,基本区)
蘉	(艹罒冖亻彐冖又,QlDdOdZn,máng,基本区)
蘊	(艹糹囗人皿,QlCpXtYz,wēn_yùn,基本区)
蘋	(艹止頁,QlHlHlLd,pín_píng,基本区)
蘌	(艹彳卩示,QlToUqTh,yù,基本区)
蘍	(艹千黑力,QlJyGpSo,xūn,基本区)
蘎	(艹月巴,QlErJsSl,jì,基本区)
蘏	(艹匕示頁,QlYsThLd,jiōng,基本区)
蘐	(艹言爫一友,QlOkChAm,xuān,基本区)
蘑	(艹麻石,QlAvRa,mó,基本区)
蘒	(艹禾日电,QlTuNaZf,qiū,基本区)
蘓	(艹禾魚,QlTuKf,sū,基本区)
蘔	(艹匕禾頁,QlYsTuLd,jiōng,基本区)
蘕	(艹糹夂丰辶,QlCpSpDf,péng,基本区)
蘖	(艹辛木,QlUvVcYq,niè,基本区)
蘗	(艹辟木,QlWuYq,bò,基本区)
蘘	(艹吅,QlHiYoXj,ráng,基本区)
蘙	(艹匚矢殳羽,QlXmLvQu,yì,基本区)
蘚	(艹魚羊,QlKfAs,xiǎn,基本区)
蘛	(艹其⺃,QlKtHuHz,yú,基本区)
蘜	(艹革勹米,QlUeKlZc,jú,基本区)
蘝	(艹僉欠,QlOgKc,liǎn,基本区)
蘞	(艹僉攵,QlOgVj,liǎn,基本区)
蘟	(艹阝爫工彐心,QlErChVi,yǐn,基本区)
蘠	(艹爿土从囗口,QlHwCkPr,qiáng,基本区)
蘡	(艹貝貝女,QlMlMlOu,yīng,基本区)
蘢	(艹立,QlJkHzDg,lóng,基本区)
蘣	(艹龷由八主,QlXjKvAu,tǒu,基本区)
蘤	(艹白爫灬,QlDhChXl,huā,基本区)
蘥	(艹亼,QlAfYoTe,yuè,基本区)
蘦	(艹,QlErYo,lìng,基本区)
蘧	(艹虍豕辶,QlPtByDf,qú,基本区)
蘨	(艹爫缶丿糸,QlChUqCp,yáo,基本区)
蘩	(艹母攵糸,QlNcShCp,fán,基本区)
蘪	(艹鹿米,QlDoZc,mí,基本区)
蘫	(艹氵臣皿,QlMeDnYz,lán,基本区)
蘬	(艹止彐冖巾,QlUvHlSu,guī,基本区)
蘭	(艹門束丷,QlYzGuHd,lán,基本区)
蘮	(艹罒厂火火刂,QlDdLsRj,jì,基本区)
蘯	(艹{温字框}一丿皿,QlCtFkYz,dàng,基本区)
蘰	(艹糹日罒又,QlCpWrZn,màn,基本区)
蘱	(艹米犬頁,QlZcRoLd,lèi,基本区)
蘲	(艹田田田土,QlTyTyCk,léi,基本区)
蘳	(艹龷由八圭,QlXjKvKa,huī,基本区)
蘴	(艹山丰丰豆,QlBnBpXn,fēng,基本区)
蘵	(艹耳音{戈无一},QlUaHrGw,zhī,基本区)
蘶	(艹禾女鬼,QlTuOuJd,wèi,基本区)
蘷	(艹百止巳八夂,QlPiHlSp,kuí,基本区)
蘸	(艹酉隹灬,QlFdWfXl,zhàn,基本区)
蘹	(艹忄罒,QlGiHiBk,huái,基本区)
蘺	(艹㐫禸隹,QlMzTkWf,lí,基本区)
蘻	(艹車凵殳糸,QlBmMdCp,jì,基本区)
蘼	(艹麻非,QlAvYx,mí,基本区)
蘽	(艹田田田木,QlTyTyYq,lěi,基本区)
蘾	(艹土罒,QlCkHiBk,huài,基本区)
蘿	(艹罒糹隹,QlDdCpWf,luó,基本区)
虀	(艹亠非一,QlWwZtFk,jī,基本区)
虁	(艹丆目止巳八夂,QlZrFmSp,kuí,基本区)
虂	(艹各,QlErHbXc,lù,基本区)
虃	(艹氵从戈非一,QlMeLcFk,jiān,基本区)
虄	(艹虫夂产生,QlHkSpNc,,基本区)
虅	(艹月龹馬,QlJsKbXt,téng,基本区)
虆	(艹田田田糸,QlTyTyCp,léi,基本区)
虇	(艹弓艹吅隹,QlDzQlWf,quǎn,基本区)
虈	(艹吕頁吕,QlYoLdYo,xiāo,基本区)
虉	(艹鬲鳥,QlGnDw,yì,基本区)
虊	(艹龻木,QlJjYq,luán,基本区)
虋	(艹冂冖酉分,QlBqOdDj,mén,基本区)
虌	(艹㡀攵彐,QlFnVjQj,biē,基本区)
虍	(虍,Pt,hū,基本区)
虎	(虎,Pt,hǔ,基本区)
虏	(虍力,PtSo,lǔ,基本区)
虐	(虍,PtXz,nüè,基本区)
虑	(虍心,PtVi,lǜ,基本区)
虒	(虎,LsPt,sī,基本区)
虓	(九虎,TqPt,xiāo,基本区)
虔	(虍文,PtHf,qián,基本区)
處	(虍夂几,PtSpKx,chù_chǔ_jù,基本区)
虖	(虍乊,PtChEo,hū,基本区)
虗	(虍一,PtTnFk,xū,基本区)
虘	(虍且,PtAw,cuó,基本区)
虙	(虍心丿,PtViLb,fú,基本区)
虚	(虍业,PtEj,xū,基本区)
虛	(虍,PtOu,xū,基本区)
虜	(虍田力,PtTySo,lǔ,基本区)
虝	(虎丿,PtJzLb,hǔ,基本区)
虞	(虍口天,PtPrAk,yú,基本区)
號	(口丂虎,PrBiPt,háo_hào,基本区)
虠	(交虎,WaPt,jiāo,基本区)
虡	(虍业八,PtEjAy,jù,基本区)
虢	(爫寸虎,ChOfPt,guó,基本区)
虣	(一弋止虎,FkWlHlPt,bào,基本区)
虤	(虎虎,PtPt,yán,基本区)
虥	(虎戈戈,PtGwGw,zhàn,基本区)
虦	(戈戈虎,GwGwPt,zhàn,基本区)
虧	(虍隹亏,PtWfGi,kuī,基本区)
虨	(虍林彡,PtGlCd,bīn,基本区)
虩	(日小虎,IgWrIgPt,xì,基本区)
虪	(虎夂黑,PtHsSpGp,shù,基本区)
虫	(虫,Hk,chóng,基本区)
虬	(虫⺃,HkHu,qiú,基本区)
虭	(虫刀,HkJz,diāo,基本区)
虮	(虫几,HkKx,jǐ,基本区)
虯	(虫丩,HkMd,qiú,基本区)
虰	(虫丁,HkNa,dīng,基本区)
虱	(乛丿虫,BmLbHk,shī,基本区)
虲	(虫卜,HkPg,xiā,基本区)
虳	(虫勹丶,HkKlMs,jué,基本区)
虴	(虫丿七,HkLbSj,zhé,基本区)
虵	(虫也,HkXi,shé,基本区)
虶	(虫一,HkFkEo,yú,基本区)
虷	(虫干,HkYc,gān_hán,基本区)
虸	(虫子,HkLg,zǐ,基本区)
虹	(虫工,HkIv,hóng_jiàng,基本区)
虺	(兀虫,SeHk,huǐ_huī,基本区)
虻	(虫亡,HkLm,méng,基本区)
虼	(虫乛,HkNcBm,gè,基本区)
虽	(口虫,PrHk,suī,基本区)
虾	(虫下,HkTk,hā_xiā,基本区)
虿	(万虫,AiHk,chài,基本区)
蚀	(饣虫,UuHk,shí,基本区)
蚁	(虫丶𘱌,HkMsQi,yǐ,基本区)
蚂	(虫马,HkWm,mà_mǎ_mā,基本区)
蚃	(乡虫,PcHk,xiǎng,基本区)
蚄	(虫方,HkLj,bàng_fāng,基本区)
蚅	(虫厂㔾,HkLsJf,è,基本区)
蚆	(虫巴,HkSl,bā,基本区)
蚇	(虫尺,HkQi,chǐ,基本区)
蚈	(虫开,HkCm,qiān,基本区)
蚉	(文虫,HfHk,wén,基本区)
蚊	(虫文,HkHf,wén,基本区)
蚋	(虫内,HkKq,ruì,基本区)
蚌	(虫丰,HkBp,bàng_bèng,基本区)
蚍	(虫比,HkLq,pí,基本区)
蚎	(虫日,HkWr,yuè,基本区)
蚏	(虫月,HkJs,yuè,基本区)
蚐	(虫勹冫,HkKlWj,jūn,基本区)
蚑	(虫支,HkOi,qí,基本区)
蚒	(虫丹,HkKj,tóng,基本区)
蚓	(虫弓丨,HkDzGp,yǐn,基本区)
蚔	(虫氏,HkOx,qí_zhǐ,基本区)
蚕	(天虫,AkHk,cán,基本区)
蚖	(虫元,HkRl,wán_yuán,基本区)
蚗	(虫夬,HkSf,jué_quē,基本区)
蚘	(虫尢丶,HkSeMs,huí,基本区)
蚙	(虫今,HkGd,qián_qín,基本区)
蚚	(虫斤,HkTn,qí,基本区)
蚛	(虫中,HkOg,zhòng,基本区)
蚜	(虫牙,HkXh,yá,基本区)
蚝	(虫毛,HkGo,cì_háo,基本区)
蚞	(虫木,HkYq,mù,基本区)
蚟	(虫王,HkKs,wáng,基本区)
蚠	(分虫,DjHk,fén,基本区)
蚡	(虫分,HkDj,fén,基本区)
蚢	(虫亠几,HkWwKx,háng,基本区)
蚣	(虫公,HkWh,gōng_zhōng,基本区)
蚤	(又丶虫,ZnMsHk,zǎo,基本区)
蚥	(虫父,HkHz,fù_fǔ,基本区)
蚦	(虫冂二,HkOdHt,rán,基本区)
蚧	(虫介,HkIe,jiè,基本区)
蚨	(虫夫,HkXm,fú,基本区)
蚩	(屮一虫,MrFkHk,chī,基本区)
蚪	(虫斗,HkAd,dǒu,基本区)
蚫	(虫包,HkOv,bào,基本区)
蚬	(虫见,HkLw,xiǎn,基本区)
蚭	(虫尸匕,HkZkYs,ní,基本区)
蚮	(虫亻弋,HkIuWl,dài_dé,基本区)
蚯	(虫一,HkTnFk,qiū,基本区)
蚰	(虫由,HkKv,yóu,基本区)
蚱	(虫乍,HkUo,zhà,基本区)
蚲	(虫平,HkIh,píng,基本区)
蚳	(虫氏丶,HkOxMs,chí,基本区)
蚴	(虫幺力,HkCpSo,yòu,基本区)
蚵	(虫可,HkUr,kē,基本区)
蚶	(虫甘,HkYp,hān,基本区)
蚷	(虫巨,HkOc,jù,基本区)
蚸	(虫斤丶,HkTnMs,lì,基本区)
蚹	(虫亻寸,HkIuOf,fù,基本区)
蚺	(虫冉,HkMn,rán,基本区)
蚻	(木⺃虫,YqHuHk,zhá,基本区)
蚼	(虫句,HkNw,gǒu_qú_xù,基本区)
蚽	(虫不一,HkKeFk,pí,基本区)
蚾	(虫皮,HkZs,bǒ_pí,基本区)
蚿	(虫亠幺,HkWwCp,xián,基本区)
蛀	(虫主,HkAu,zhù,基本区)
蛁	(虫刀口,HkJzPr,diāo,基本区)
蛂	(虫友丶,HkAmMs,bié,基本区)
蛃	(虫一内,HkFkKq,bǐng_bīng,基本区)
蛄	(虫古,HkOb,gǔ_gū,基本区)
蛅	(虫占,HkJx,zhān,基本区)
蛆	(虫且,HkAw,qū,基本区)
蛇	(虫宀匕,HkDxYs,shé_yí,基本区)
蛈	(虫丿夫,HkLbXm,tiě,基本区)
蛉	(虫今丶,HkGdMs,líng,基本区)
